Date,Drill,Athlete Identifier,Playing Position,Start Time,Duration,Participation,Distance Covered(m),Distance Zone 1,Distance Zone 2,Distance Zone 3,Distance Zone 4,Distance Zone 5,Distance Zone 6,Max Speed,Avg Speed,Max HR,Avg HR,HR Exertion,Time in HR Zone 1,Time in HR Zone 2,Time in HR Zone 3,Time in HR Zone 4,Time in HR Zone 5,Time in HR Zone 6,Speed Exertion,Sprint Count,Accelerations Zone 1,Accelerations Zone 2,Accelerations Zone 3,Decelerations Zone 1,Decelerations Zone 2,Decelerations Zone 3,New Bodyload,Impacts Zone 1,Impacts Zone 2,Impacts Zone 3,Impacts Zone 4,Impacts Zone 5,Impacts Zone 6,Running Series,Running Imbalance,Running Imbalance Standard Deviation,Running Symmetry Footstrikes,Metabolic Load Time Zone 1,Metabolic Load Time Zone 2,Metabolic Load Time Zone 3,Metabolic Load Time Zone 4,Metabolic Load Time Zone 5,Metabolic Load (relative),Metabolic Power Average,High-Metabolic-Power Distance,Equivalent Distance,Metabolic Load Distance Zone 1,Metabolic Load Distance Zone 2,Metabolic Load Distance Zone 3,Metabolic Load Distance Zone 4,Metabolic Load Distance Zone 5,Metabolic Load (absolute),Repeat Sprints,Sprint Max Acceleration,Sprint Total Distance,Work Rate Effort Count,Work Rate Effort Duration,Work Rate Effort Distance
22/10/15,Passing Practice,P07,Midfielder,22/10/15 18:03,16.4,Full,1149.4,61.5,176.4,311.8,593,6.8,0,20.9,4.2,206,150.6,45.8,0.6,1.8,1.7,2.3,3.4,1.9,338.1,19,38,18,1,37,19,2,82.9,1159,380,279,45,0,0,10,1.3,4.5,112,3.4,2.2,1.5,0.4,0,6.2,6.3,456.7,1334.2,268,420.7,361,91.3,4.4,557.7,6,3.1,339.2,6,0.004167,602.4
22/10/15,Acceleration Runs,P07,Midfielder,22/10/15 18:21,3.7,Full,346.6,11.8,170.7,11.9,35.9,113.5,2.8,24.9,5.6,208,157.3,14.7,0.1,0.3,0.4,0.7,1,0.7,93.2,4,0,2,2,0,4,0,19.6,229,31,42,21,6,0,0,0,0,0,2.2,0.1,0.1,0.1,0.1,1.9,8.6,131.2,414.3,192.6,22,48.9,53.4,28.9,173.2,0,3.2,140.3,2,0.001389,213.6
22/10/15,Combination Play,P07,Midfielder,22/10/15 18:28,26.5,Full,2118.9,142.7,599.6,948.7,407.9,20.1,0,22.9,4.8,211,158.7,127.1,0.1,5.1,1.5,3.1,9.6,6.5,384.1,15,113,13,2,81,32,9,110.3,2090,790,244,48,7,2,1,-1.5,0,16,9.5,5,1.7,0.3,0.1,10.9,6.9,459.5,2353.2,817.1,836.4,356.1,88.3,15.1,983.6,4,3.4,190.5,14,0.009722,1510.3
22/10/15,11v11,P07,Midfielder,22/10/15 18:59,12.1,Full,1439.2,83.2,344.2,612.4,332.8,66.6,0,22.9,7.1,195,163.6,59.6,0,1,1,0.9,8.4,0.8,313.4,7,49,7,0,37,18,5,72.9,1267,468,181,37,7,1,3,1.1,2.4,68,5.6,3.4,1.1,0.3,0,7.2,10,348.1,1561,493.2,594,258.9,81.8,7.4,652.4,4,2.6,115.6,10,0.006944,1310.4
22/10/15,Warm Up,P08,Midfielder,22/10/15 17:54,3.9,Full,524.2,6.2,28.6,454.1,35.2,0,0,13.6,8.1,0,0,0,0,0,0,0,0,0,96.3,1,2,1,0,3,0,0,11.3,673,162,1,0,0,0,0,0,0,0,0.7,2.5,0.1,0,0,2.4,10.3,12.7,519.2,58.6,452.6,12,0.7,0,217,0,2.3,15.1,3,0.002083,453.6
22/10/15,Passing Practice,P08,Midfielder,22/10/15 18:03,16.4,Full,1105.5,73.6,178.7,434.7,382.1,36.5,0,22.5,4,157,99.1,0.8,0.1,0,0,0.2,0,0,277.7,20,27,17,3,47,7,0,35.1,1119,363,58,1,0,0,2,6.6,3.6,26,4.1,2.3,0.9,0.4,0.1,6,6.1,338.9,1298.2,329.2,433.2,203.4,95.6,39.8,542.6,11,3.6,300,6,0.004167,600.8
22/10/15,Acceleration Runs,P08,Midfielder,22/10/15 18:21,3.7,Full,349.9,21.4,166,12.2,38.1,112.2,0,24.6,5.6,0,0,0,0,0,0,0,0,0,88.1,4,0,1,3,0,4,0,5.7,147,24,19,1,0,0,0,0,0,0,2.4,0.1,0.1,0.1,0.1,1.9,8.6,125,411.9,197.7,26.6,45.8,49,30.2,172.2,0,4,137.1,2,0.001389,212.7
22/10/15,Combination Play,P08,Midfielder,22/10/15 18:28,26.5,Full,1732.6,144.8,538.9,512.8,498.8,37.3,0,22.5,3.9,115,102.7,4.2,2.4,2.2,0,0,0,0,358.1,27,66,23,4,45,31,10,43.2,1530,303,81,12,2,0,0,0,0,0,9.3,2.9,1.4,0.5,0.1,9.2,5.8,482.3,1986.7,756,488.7,323,140.6,18.8,830.4,10,3.3,331.8,11,0.007639,1216.5
22/10/15,11v11,P08,Midfielder,22/10/15 18:59,12.1,Full,1303,86.9,381.8,474.8,299.2,60.2,0,21.9,6.5,0,0,0,0,0,0,0,0,0,271.9,10,45,9,1,39,13,2,34.8,1129,289,52,9,2,1,0,0,0,0,6.4,2.5,1.1,0.2,0,6.6,9.1,332.4,1424.6,522.6,444.6,263.8,62.8,5.8,595.4,5,3.3,128.6,9,0.00625,1114
22/10/15,Warm Up,P09,Midfielder,22/10/15 17:54,3.9,Full,534.5,12.7,31.2,480.9,9.8,0,0,12.8,8.3,199,147.2,25.2,0.5,0.1,0.2,0.5,0.5,2.1,84.4,0,1,0,0,1,0,0,6.2,830,51,0,0,0,0,0,0,0,0,0.8,2.6,0,0,0,2.4,10.4,2.5,524.3,58.7,472.6,2.5,0,0,219.1,0,0,0,3,0.002083,464.3
